event_id,symbol,entry_day,exit_day,holding_days,entry_date,exit_date,ex_date,entry_price,exit_price,raw_return,net_return,daily_net_return,entry_premium,exit_premium,premium_change_entry_to_exit,entry_volume_ratio,dividend,dividend_yield_on_entry,etf_name,entry_year,strategy_entry_day,strategy_exit_day,strategy_holding_days,exit_year,category
00878_20210518,00878,-10,-1,9,2021-05-04,2021-05-17,2021-05-18,12.705190658569336,11.838313102722168,-0.06823018867981179,-0.06983018867981179,-0.007758909853312421,0.0016,0.0063,0.0047,3.310071181183953,0.25,0.013326225850206232,國泰永續高股息,2021,-10,-1,9,2021,high_dividend
00878_20210817,00878,-10,-1,9,2021-08-03,2021-08-16,2021-08-17,12.70402717590332,12.50477695465088,-0.015684020389248876,-0.017284020389248877,-0.001920446709916542,-0.0005,0.0121999999999999,0.0126999999999999,1.626814215437149,0.3,0.01622498668002189,國泰永續高股息,2021,-10,-1,9,2021,high_dividend
0056_20211022,0056,-10,-1,9,2021-10-07,2021-10-21,2021-10-22,20.62629508972168,20.518630981445312,-0.005219750217285379,-0.006819750217285379,-0.0007577500241428199,0.0065,0.0065,0.0,3.466612402654252,1.8,0.055265582341594024,元大高股息,2021,-10,-1,9,2021,high_dividend
00878_20211116,00878,-10,-1,9,2021-11-02,2021-11-15,2021-11-16,12.812155723571776,13.168437957763672,0.027808141102781736,0.026208141102781735,0.0029120156780868597,0.0022,0.0021,-0.00010000000000000026,2.1931799103784604,0.28,0.015267175445496942,國泰永續高股息,2021,-10,-1,9,2021,high_dividend
00713_20211119,00713,-10,-1,9,2021-11-05,2021-11-18,2021-11-19,30.076595306396484,31.07779693603516,0.03328839649033499,0.031688396490334995,0.003520932943370555,0.0029,0.0019,-0.0009999999999999998,87.59983739129173,3.15,0.0703753377596664,元大台灣高息低波,2021,-10,-1,9,2021,high_dividend
00878_20220222,00878,-10,-1,9,2022-02-08,2022-02-21,2022-02-22,13.81374168395996,14.005204200744627,0.013860293696311698,0.012260293696311698,0.0013622548551457442,0.0036,0.0040999999999999,0.0004999999999998998,2.13826244187398,0.3,0.01540041103951482,國泰永續高股息,2022,-10,-1,9,2022,high_dividend
00878_20220518,00878,-10,-1,9,2022-05-04,2022-05-17,2022-05-18,13.558768272399902,12.88190460205078,-0.04992073444657508,-0.051520734446575074,-0.005724526049619452,0.0021,0.0045,0.0024,1.3331913678607208,0.32,0.016994158326954407,國泰永續高股息,2022,-10,-1,9,2022,high_dividend
00878_20220816,00878,-10,-1,9,2022-08-02,2022-08-15,2022-08-16,12.310030937194824,12.705945014953612,0.032161907616538254,0.030561907616538254,0.003395767512948695,0.0024,0.0034999999999999,0.0010999999999999,2.05604747321288,0.28,0.01667659230090076,國泰永續高股息,2022,-10,-1,9,2022,high_dividend
00713_20220919,00713,-10,-1,9,2022-09-02,2022-09-16,2022-09-19,28.878557205200195,28.828081130981445,-0.0017478738241695213,-0.003347873824169521,-0.00037198598046328014,0.0023,0.001,-0.0013,6.186743927849006,1.45,0.0362047447596012,元大台灣高息低波,2022,-10,-1,9,2022,high_dividend
0056_20221019,0056,-10,-1,9,2022-10-04,2022-10-18,2022-10-19,17.61517906188965,17.326847076416016,-0.016368382317352492,-0.017968382317352493,-0.001996486924150277,0.0034,0.0039,0.0005,4.429632150686475,2.1,0.07993909263063523,元大高股息,2022,-10,-1,9,2022,high_dividend
00878_20221116,00878,-10,-1,9,2022-11-02,2022-11-15,2022-11-16,11.789328575134276,12.497285842895508,0.06005068594444274,0.05845068594444274,0.006494520660493638,0.0032,0.0006,-0.0026000000000000003,1.3284225294276426,0.28,0.01769911538567265,國泰永續高股息,2022,-10,-1,9,2022,high_dividend
00713_20221216,00713,-10,-1,9,2022-12-02,2022-12-15,2022-12-16,29.471534729003903,29.20966529846192,-0.00888550368855634,-0.01048550368855634,-0.001165055965395149,0.001,0.0040999999999999,0.0030999999999998997,2.330767595659974,1.45,0.03681137401543233,元大台灣高息低波,2022,-10,-1,9,2022,high_dividend
00878_20230216,00878,-10,-1,9,2023-02-02,2023-02-15,2023-02-16,12.974743843078612,13.00505828857422,0.002336419575002191,0.0007364195750021909,8.182439722246566e-05,0.0029,0.0034999999999999,0.0005999999999999001,2.028820272263761,0.27,0.01577102726427729,國泰永續高股息,2023,-10,-1,9,2023,high_dividend
00713_20230317,00713,-10,-1,9,2023-03-03,2023-03-16,2023-03-17,30.8259506225586,30.53843879699707,-0.009326941092000829,-0.01092694109200083,-0.00121410456577787,0.0015,0.0051,0.0036000000000000003,1.995921283395981,0.68,0.01714141747887252,元大台灣高息低波,2023,-10,-1,9,2023,high_dividend
