event_id,symbol,etf_name,ex_date,dividend,premium_day_minus_1,premium_day_0,premium_day_5,premium_change_0_to_5,ret_0_to_3,ret_0_to_5,ret_0_to_10,premium_group
00878_20230816,00878,國泰永續高股息,2023-08-16,0.35,0.0060999999999999,-0.0014,-0.0014,0.0,-0.009873282345070455,0.00047008107713786274,-0.012224026243297326,high_premium
00878_20231116,00878,國泰永續高股息,2023-11-16,0.35,0.0039,0.0015,0.0029,0.0013999999999999998,0.02023703310677072,0.008884403416293374,0.016288150569023108,high_premium
00878_20240227,00878,國泰永續高股息,2024-02-27,0.4,0.0049,0.0032,-0.0045,-0.0077,0.010068601735343075,0.020137097413955196,0.030663439996708064,high_premium
00878_20240517,00878,國泰永續高股息,2024-05-17,0.51,,,0.0004,,0.009134569395095049,0.00739467489524448,0.003479986233108301,low_premium
00878_20240816,00878,國泰永續高股息,2024-08-16,0.55,0.0069999999999999,0.0018,0.0009,-0.0009,-0.0021872427332098043,-0.004374291828003418,0.0021872427332105815,high_premium
00878_20241118,00878,國泰永續高股息,2024-11-18,0.55,,,,,0.0009066762741780643,0.010879332069084091,-0.0004533870884052549,low_premium
00878_20250220,00878,國泰永續高股息,2025-02-20,0.5,,0.0036,0.0054,0.0018000000000000004,0.0031180428557029405,-0.002227321350580347,-0.011135853897958237,low_premium
00878_20250519,00878,國泰永續高股息,2025-05-19,0.47,0.0043,0.0049,-0.0005,-0.0054,0.003396408780381277,-0.0029113364089667915,-0.01795248937156213,high_premium
00878_20250818,00878,國泰永續高股息,2025-08-18,0.4,0.0028,0.0,-0.001,-0.001,-0.012065762416001102,-0.009652609932800926,-0.0260618120380387,low_premium
00878_20251118,00878,國泰永續高股息,2025-11-18,0.4,0.0052,0.002,0.002,0.0,-0.0009828328667207398,0.009336619084253206,0.032432409719941546,high_premium
00919_20230616,00919,群益台灣精選高息,2023-06-16,0.54,0.0025,0.0005,0.0026,0.0021,-0.016243647730001753,-0.026395746322030122,0.02436553750017456,low_premium
00919_20230918,00919,群益台灣精選高息,2023-09-18,0.54,0.0009,0.0052,0.0019,-0.0033,-0.027423224437418514,-0.016075588320718093,-0.015129961956410698,low_premium
00919_20231218,00919,群益台灣精選高息,2023-12-18,0.55,0.0018,0.0036,0.0046,0.001,-0.014738700851862796,-0.016525153178103436,-0.008039421835452587,low_premium
00919_20240318,00919,群益台灣精選高息,2024-03-18,0.66,0.0078,0.0,0.0028,0.0028,0.01963867501875649,-0.006284311678626087,-0.016496377280819208,high_premium
00919_20240830,00919,群益台灣精選高息,2024-08-30,0.7,0.0004,-0.0008,0.0004,0.0012000000000000001,-0.026907691893153673,-0.028112491419524765,-0.03493975154448559,low_premium
00919_20240923,00919,群益台灣精選高息,2024-09-23,0.72,0.0092,0.0013,0.0064,0.0051,0.017789108684966637,0.0029648514474946985,-0.015247848759509797,high_premium
00919_20241220,00919,群益台灣精選高息,2024-12-20,0.72,,,,,0.010775908007825796,0.011637954003913098,0.01293107057757803,low_premium
00919_20250318,00919,群益台灣精選高息,2025-03-18,0.72,0.0055,0.0017,0.0004,-0.0013,0.0017322424520114232,0.002598456390629389,-0.019488932849089147,high_premium
00919_20250617,00919,群益台灣精選高息,2025-06-17,0.72,0.0076,0.0056,-0.0005,-0.0060999999999999995,-0.015242492413737097,-0.007390241343850135,-0.00646641331905029,high_premium
00919_20250916,00919,群益台灣精選高息,2025-09-16,0.54,0.0023,0.0014,-0.0037,-0.0051,0.00468391633901688,0.0042154773784872646,-0.006088949260838583,low_premium
00929_20231121,00929,復華台灣科技優息,2023-11-21,0.11,0.0011,0.0006,-0.0017,-0.0023,0.0,0.007218303996380904,0.027207308529654695,low_premium
00929_20231219,00929,復華台灣科技優息,2023-12-19,0.11,0.0046999999999999,0.0005,-0.001,-0.0015,-0.0005289610015914992,0.009518799000293399,-0.004759280498796481,high_premium
00929_20240118,00929,復華台灣科技優息,2024-01-18,0.13,0.0054,0.0027,0.0005,-0.0022,0.021881945332357766,0.024070286549546127,0.016958498464830107,high_premium
00929_20240229,00929,復華台灣科技優息,2024-02-29,0.13,0.002,-0.001,-0.0048,-0.0037999999999999996,0.017875123540779025,0.055668795758835765,0.050050935418243014,low_premium
00929_20240319,00929,復華台灣科技優息,2024-03-19,0.13,-0.0076,-0.0028,-0.0048,-0.0019999999999999996,-0.012206572478213551,-0.0366200281372262,-0.010798157657949115,low_premium
00929_20240423,00929,復華台灣科技優息,2024-04-23,0.2,0.0026,0.0021,0.0025,0.0004000000000000002,0.022210776307452607,0.036673229709584865,0.04958653731855667,low_premium
00929_20240521,00929,復華台灣科技優息,2024-05-21,0.2,,,0.0019,,0.01587262264564937,0.03571412484854486,0.022817303920212417,low_premium
00929_20240620,00929,復華台灣科技優息,2024-06-20,0.2,0.0037,0.0014,0.001,-0.00039999999999999996,-0.02477794241508413,-0.025245184358790196,-0.02431050019621961,high_premium
00929_20240717,00929,復華台灣科技優息,2024-07-17,0.18,0.0043,0.0044,-0.001,-0.0054,-0.040000111867274035,-0.0502441503255856,-0.0619512677151669,high_premium
00929_20240820,00929,復華台灣科技優息,2024-08-20,0.18,0.0,0.0040999999999999,-0.001,-0.0050999999999999,-0.007120839688422809,-0.007120839688422809,-0.003051620254847176,low_premium
00929_20240919,00929,復華台灣科技優息,2024-09-19,0.16,0.0101,0.0053,-0.0005,-0.0058,0.005313669106699059,0.018597065864021545,-0.0026563911193925316,high_premium
00929_20241119,00929,復華台灣科技優息,2024-11-19,0.11,,,,,0.0016668864251794258,0.0027778772059570134,-0.01333326166880533,low_premium
00929_20241218,00929,復華台灣科技優息,2024-12-18,0.05,,,,,0.00500547195216372,0.012235686900673892,0.0016684145403913497,low_premium
00929_20250116,00929,復華台灣科技優息,2025-01-16,0.05,,,,,0.014999960197828122,0.005555700865071733,0.015555825957611846,low_premium
00929_20250219,00929,復華台灣科技優息,2025-02-19,0.05,,,-0.0032,,0.007466615159503309,0.009066814103744436,-0.006399924742633845,low_premium
00929_20250319,00929,復華台灣科技優息,2025-03-19,0.05,-0.0065,-0.0016,-0.0069999999999999,-0.0053999999999999005,0.008752709640076128,0.011487994051627926,-0.018052387061622488,low_premium
00929_20250422,00929,復華台灣科技優息,2025-04-22,0.05,-0.003,-0.0006,-0.0053,-0.0047,0.03312888790983437,0.04539903779669885,0.0386505767721963,low_premium
00929_20250520,00929,復華台灣科技優息,2025-05-20,0.07,0.0,-0.0006,-0.0029,-0.0023,0.0005697644025346449,-0.011965974029295334,-0.023931832861582403,low_premium
00929_20250618,00929,復華台灣科技優息,2025-06-18,0.07,-0.0034,-0.0062,-0.0056999999999999,0.0005000000000001002,-0.022034072235578628,-0.009039458936248357,-0.011864552942980722,low_premium
00929_20250717,00929,復華台灣科技優息,2025-07-17,0.07,-0.004,-0.0056,-0.0060999999999999,-0.0004999999999998998,-0.010740634499147972,0.005652804406414136,0.0005652010743921743,low_premium
00929_20250819,00929,復華台灣科技優息,2025-08-19,0.08,-0.0051,-0.0034,-0.0084,-0.004999999999999999,-0.006271425587366264,0.007411695133563656,-0.0022805390923945623,low_premium
00929_20250917,00929,復華台灣科技優息,2025-09-17,0.08,-0.0076,-0.0038,-0.0042,-0.00039999999999999975,0.039096882602948524,0.04240086918207653,0.019823810005993314,low_premium
00929_20251021,00929,復華台灣科技優息,2025-10-21,0.08,-0.0048,-0.0027,,,0.015557923392932826,0.019849976712175366,-0.007510615446337243,low_premium
00929_20251119,00929,復華台灣科技優息,2025-11-19,0.09,0.0011,0.0012,-0.0028,-0.004,-0.0005760281103532883,0.014977071177245893,0.022465323175818286,low_premium
