event_id,symbol,entry_date,exit_date,ex_date,entry_year,entry_day,exit_day,holding_days,buffer_days_used,actual_net_return,actual_daily_return,matched_placebo_mean_daily_return,matched_placebo_median_daily_return,event_excess_daily_return,event_excess_daily_return_vs_median,random_sample_count,entry_premium,exit_premium,entry_volume_ratio,dividend_yield_on_entry,etf_name,category
0056_20231019,0056,2023-10-03,2023-10-18,2023-10-19,2023,-10,-1,9,30,-0.021263019575597463,-0.0023625577306219405,0.0019254518435775354,0.0017929907361481294,-0.004288009574199476,-0.00415554846677007,536,0.0023,0.004,2.5788034462913276,0.03370786661331805,元大高股息,high_dividend
0056_20240117,0056,2024-01-03,2024-01-16,2024-01-17,2024,-10,-1,9,30,-0.01005158236174537,-0.0011168424846383744,-0.00036723194282956695,-0.0003162975722877639,-0.0007496105418088074,-0.0008005449123506105,217,0.0025,0.005,3.7300147403084063,0.019083969306871177,元大高股息,high_dividend
0056_20240418,0056,2024-04-02,2024-04-17,2024-04-18,2024,-10,-1,9,30,-0.02517085180085139,-0.00279676131120571,-0.0005177721512578171,-0.0003162975722877639,-0.002278989159947893,-0.0024804637389179464,200,-0.001,0.0044,0.9011840154218901,0.019809427754294093,元大高股息,high_dividend
0056_20240716,0056,2024-07-02,2024-07-15,2024-07-16,2024,-10,-1,9,30,0.029300264157077028,0.003255584906341892,-0.00033548973326214996,-0.0002886663467058124,0.0035910746396040417,0.0035442512530477043,208,0.0017,0.0045,3.719878063317399,0.026034064226881502,元大高股息,high_dividend
0056_20241017,0056,2024-09-30,2024-10-16,2024-10-17,2024,-10,-1,9,30,0.00771198637126518,0.00085688737458502,-0.0003287140757808453,-0.0003275193230274067,0.0011856014503658654,0.0011844066976124266,197,0.0089,0.0069999999999999,1.541597552168784,0.027677185830915763,元大高股息,high_dividend
0056_20250117,0056,2025-01-03,2025-01-16,2025-01-17,2025,-10,-1,9,30,-0.012203544949154942,-0.0013559494387949936,0.0006505864222096804,0.00024746250191974003,-0.002006535861004674,-0.0016034119407147337,224,,,1.6319171668064458,0.029091898736067743,元大高股息,high_dividend
0056_20250423,0056,2025-04-09,2025-04-22,2025-04-23,2025,-10,-1,9,30,0.11307407488551662,0.012563786098390735,0.0011767447629815028,0.001236862062419444,0.011387041335409232,0.01132692403597129,220,0.0095,0.005,11.711736953759146,0.03729522412276757,元大高股息,high_dividend
0056_20250721,0056,2025-07-07,2025-07-18,2025-07-21,2025,-10,-1,9,30,0.020507303075147965,0.002278589230571996,0.0010935179078756351,0.001236862062419444,0.001185071322696361,0.001041727168152552,235,0.0011,0.0023,1.4679300185626527,0.024863622006125418,元大高股息,high_dividend
0056_20251023,0056,2025-10-08,2025-10-22,2025-10-23,2025,-10,-1,9,30,0.006949384018111006,0.0007721537797901117,0.0007679462828738081,0.0003452993042365264,4.207496916303673e-06,0.00042685447555358534,222,-0.0016,0.0011,1.0499180195978433,0.0231365213181751,元大高股息,high_dividend
0056_20260122,0056,2026-01-08,2026-01-21,2026-01-22,2026,-10,-1,9,30,0.019784767692144368,0.0021983075213493743,-0.0011939118138336673,-0.0010864366015467819,0.0033922193351830416,0.003284744122896156,157,0.0008,0.0039,1.616866255110642,0.02314889076536328,元大高股息,high_dividend
0056_20260423,0056,2026-04-09,2026-04-22,2026-04-23,2026,-10,-1,9,30,0.08872751472112443,0.009858612746791603,-0.0009015720397696022,-0.0005001129365656688,0.010760184786561206,0.010358725683357273,126,-0.0066,,0.5666905003276417,0.025588535136796133,元大高股息,high_dividend
006208_20160802,006208,2016-07-19,2016-08-01,2016-08-02,2016,-10,-1,9,30,0.0019301611593596682,0.00021446235103996314,0.0005757347642233552,0.0009188329594264004,-0.00036127241318339206,-0.0007043706083864372,789,-0.0146,-0.0092,0.0,0.0010842158387654615,富邦台50,market_cap
006208_20170727,006208,2017-07-13,2017-07-26,2017-07-27,2017,-10,-1,9,30,0.0017032296607595767,0.0001892477400843974,0.0008356271915911478,0.0006412199295679354,-0.0006463794515067504,-0.00045197218948353794,591,-0.0068,-0.0012,1.3333333333333333,0.020644096373871847,富邦台50,market_cap
006208_20171130,006208,2017-11-16,2017-11-29,2017-11-30,2017,-10,-1,9,30,0.00043964145042045956,4.8849050046717726e-05,0.0007961975478590593,0.0006162175010077272,-0.0007473484978123416,-0.0005673684509610095,598,0.0031,0.0043,13.552841982846344,0.03365286643035201,富邦台50,market_cap
006208_20180726,006208,2018-07-12,2018-07-25,2018-07-26,2018,-10,-1,9,30,0.02090017344828037,0.0023222414942533744,-0.000926990550040467,-0.00048071022009607355,0.0032492320442938415,0.002802951714349448,586,0.0033,-0.0103,0.9762678803641093,0.013541666666666667,富邦台50,market_cap
006208_20181129,006208,2018-11-15,2018-11-28,2018-11-29,2018,-10,-1,9,30,-0.006507718430555263,-0.0007230798256172515,-0.0006963482954793741,-0.0004439201666118354,-2.673153013787739e-05,-0.0002791596590054161,570,0.0029,0.0052,0.8328304532016702,0.0446129805556813,富邦台50,market_cap
006208_20190718,006208,2019-07-04,2019-07-17,2019-07-18,2019,-10,-1,9,30,0.013603238578079813,0.0015114709531199792,0.000955449705741949,0.0015932795477208582,0.0005560212473780302,-8.1808594600879e-05,556,0.0028,0.0044,0.791091721406193,0.014154175357627863,富邦台50,market_cap
006208_20191120,006208,2019-11-06,2019-11-19,2019-11-20,2019,-10,-1,9,30,0.002180846467556609,0.00024231627417295657,0.000969763971875233,0.0016587654802482168,-0.0007274476977022764,-0.0014164492060752603,540,0.0025,0.0019,1.6573683168790605,0.021512286714080443,富邦台50,market_cap
006208_20200721,006208,2020-07-07,2020-07-20,2020-07-21,2020,-10,-1,9,30,0.028084399099615177,0.0031204887888461306,-0.00016526909461738278,0.0006340972633668212,0.0032857578834635135,0.0024863915254793095,551,-0.0040999999999999,-0.0022,1.165025032719636,0.008923932957015936,富邦台50,market_cap
006208_20201117,006208,2020-11-03,2020-11-16,2020-11-17,2020,-10,-1,9,30,0.07609424452972906,0.008454916058858784,-9.415304332456018e-05,0.0009393575515005464,0.008549069102183345,0.007515558507358237,536,0.0013,0.0017,1.2652818461629964,0.01903091109505206,富邦台50,market_cap
006208_20210716,006208,2021-07-02,2021-07-15,2021-07-16,2021,-10,-1,9,30,0.020412527456437336,0.002268058606270815,0.0004957032728248056,0.0008055360483710486,0.0017723553334460095,0.0014625225578997665,587,0.0006,-0.0064,0.5173033002667411,0.003949685534591195,富邦台50,market_cap
006208_20211116,006208,2021-11-02,2021-11-15,2021-11-16,2021,-10,-1,9,30,0.030287830306430053,0.003365314478492228,0.0005464542190643247,0.000850302653314408,0.002818860259427903,0.00251501182517782,537,-0.001,-0.0006,0.6590235846666117,0.020931122041602582,富邦台50,market_cap
006208_20220718,006208,2022-07-04,2022-07-15,2022-07-18,2022,-10,-1,9,30,0.04788947628332401,0.005321052920369334,-0.002233833423989551,-0.002871850315194615,0.007554886344358885,0.00819290323556395,545,0.0044,0.0040999999999999,2.1596275031185757,0.019607226552737573,富邦台50,market_cap
006208_20221116,006208,2022-11-02,2022-11-15,2022-11-16,2022,-10,-1,9,30,0.14274803631674687,0.015860892924082985,-0.0024556686711885126,-0.0030697078548033853,0.018316561595271497,0.01893060077888637,576,-0.0009,0.0003,0.44079519941081563,0.01791304347826087,富邦台50,market_cap
006208_20230718,006208,2023-07-04,2023-07-17,2023-07-18,2023,-10,-1,9,30,0.005646350855975914,0.0006273723173306571,0.0009539543628211274,0.00014306540314521762,-0.0003265820454904703,0.00048430691418543953,568,-0.0018,-0.0052,0.818734843491184,0.017812911367847885,富邦台50,market_cap
006208_20231116,006208,2023-11-02,2023-11-15,2023-11-16,2023,-10,-1,9,30,0.044233457907243694,0.00491482865636041,0.000879325430539907,6.568740333137902e-05,0.004035503225820503,0.004849141253029031,550,0.0008,-0.0026,1.0143745818407488,0.011958333333333333,富邦台50,market_cap
006208_20240716,006208,2024-07-02,2024-07-15,2024-07-16,2024,-10,-1,9,30,0.06101504729480683,0.006779449699422981,0.002342684399206889,0.0029968311471125207,0.004436765300216092,0.0037826185523104606,536,0.0018,0.0022,1.0408388314837056,0.007209944852684187,富邦台50,market_cap
006208_20241118,006208,2024-11-04,2024-11-15,2024-11-18,2024,-10,-1,9,30,-0.009112105153461458,-0.0010124561281623843,0.0024381672684807816,0.003264938320924034,-0.003450623396643166,-0.0042773944490864186,567,0.0038,,1.1159166736507102,0.007954043198083016,富邦台50,market_cap
006208_20250716,006208,2025-07-02,2025-07-15,2025-07-16,2025,-10,-1,9,30,0.022469978102522204,0.002496664233613578,0.0005765921446584291,0.0010728340779027736,0.001920072088955149,0.0014238301557108046,564,-0.0049,-0.0044,0.6083091575878085,0.008656455142231947,富邦台50,market_cap
006208_20251118,006208,2025-11-04,2025-11-17,2025-11-18,2025,-10,-1,9,30,-0.034655044177529244,-0.003850560464169916,0.0008407455011557764,0.0009664416365898198,-0.004691305965325692,-0.0048170021007597355,556,-0.0017,0.0012,0.672381823789492,0.023025041736227044,富邦台50,market_cap
00713_20181122,00713,2018-11-08,2018-11-21,2018-11-22,2018,-10,-1,9,30,0.010591032612250518,0.0011767814013611687,-0.00042894704469459356,0.00017948922426404634,0.0016057284460557623,0.0009972921770971224,824,-0.0034,0.0132,0.0,0.05248899302264371,元大台灣高息低波,high_dividend
00713_20191122,00713,2019-11-08,2019-11-21,2019-11-22,2019,-10,-1,9,30,-0.0004102409231869317,-4.5582324798547966e-05,0.000722137961297899,0.0013007587885484483,-0.0007677202860964469,-0.0013463411133469963,792,0.0066,0.0098999999999999,2.859077571288842,0.04759072132160543,元大台灣高息低波,high_dividend
