symbol,etf_name,ex_date,record_date,pay_date,dividend,source,source_url,scraped_at
713,元大台灣高息低波,2026/3/20,2026/3/28,2026/4/14,0.78,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2026&endDate=2026,40:43.4
713,元大台灣高息低波,2026/6/18,2026/6/27,2026/7/13,0.66,TWSE ETF eFortune dividendList text_fallback,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2026&endDate=2026,40:44.3
878,國泰永續高股息,2020/11/17,2020/11/23,2020/12/18,0.05,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2020&endDate=2020,40:30.6
878,國泰永續高股息,2021/2/25,2021/3/6,2021/3/31,0.15,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2021&endDate=2021,40:32.2
878,國泰永續高股息,2021/5/18,2021/5/24,2021/6/21,0.25,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2021&endDate=2021,40:32.2
878,國泰永續高股息,2021/8/17,2021/8/23,2021/9/17,0.3,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2021&endDate=2021,40:32.2
878,國泰永續高股息,2021/11/16,2021/11/22,2021/12/17,0.28,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2021&endDate=2021,40:32.2
878,國泰永續高股息,2022/2/22,2022/2/28,2022/3/28,0.3,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2022&endDate=2022,40:33.7
878,國泰永續高股息,2022/5/18,2022/5/24,2022/6/21,0.32,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2022&endDate=2022,40:33.7
878,國泰永續高股息,2022/8/16,2022/8/22,2022/9/19,0.28,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2022&endDate=2022,40:33.7
878,國泰永續高股息,2022/11/16,2022/11/22,2022/12/19,0.28,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2022&endDate=2022,40:33.7
878,國泰永續高股息,2023/2/16,2023/2/22,2023/3/22,0.27,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2023&endDate=2023,40:35.6
878,國泰永續高股息,2023/5/17,2023/5/23,2023/6/12,0.27,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2023&endDate=2023,40:35.6
878,國泰永續高股息,2023/8/16,2023/8/22,2023/9/11,0.35,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2023&endDate=2023,40:35.6
878,國泰永續高股息,2023/11/16,2023/11/24,2023/12/12,0.35,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2023&endDate=2023,40:35.6
878,國泰永續高股息,2024/2/27,2024/3/5,2024/3/25,0.4,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2024&endDate=2024,40:37.7
878,國泰永續高股息,2024/5/17,2024/5/25,2024/6/13,0.51,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2024&endDate=2024,40:37.7
878,國泰永續高股息,2024/8/16,2024/8/24,2024/9/11,0.55,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2024&endDate=2024,40:37.7
878,國泰永續高股息,2024/11/18,2024/11/24,2024/12/12,0.55,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2024&endDate=2024,40:37.7
878,國泰永續高股息,2025/2/20,2025/2/26,2025/3/18,0.5,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2025&endDate=2025,40:40.4
878,國泰永續高股息,2025/5/19,2025/5/25,2025/6/13,0.47,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2025&endDate=2025,40:40.4
878,國泰永續高股息,2025/8/18,2025/8/24,2025/9/11,0.4,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2025&endDate=2025,40:40.3
878,國泰永續高股息,2025/11/18,2025/11/24,2025/12/12,0.4,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2025&endDate=2025,40:40.3
878,國泰永續高股息,2026/2/26,2026/3/7,2026/3/23,0.42,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2026&endDate=2026,40:43.4
878,國泰永續高股息,2026/5/19,2026/5/25,2026/6/12,0.66,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2026&endDate=2026,40:43.3
919,群益台灣精選高息,2023/6/16,2023/6/24,2023/7/14,0.54,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2023&endDate=2023,40:35.6
919,群益台灣精選高息,2023/9/18,2023/9/24,2023/10/17,0.54,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2023&endDate=2023,40:35.6
919,群益台灣精選高息,2023/12/18,2023/12/24,2024/1/12,0.55,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2023&endDate=2023,40:35.6
919,群益台灣精選高息,2024/3/18,2024/3/24,2024/4/15,0.66,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2024&endDate=2024,40:37.7
919,群益台灣精選高息,2024/6/24,2024/6/30,2024/7/15,0.7,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2024&endDate=2024,40:37.7
919,群益台灣精選高息,2024/9/23,2024/9/29,2024/10/15,0.72,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2024&endDate=2024,40:37.7
919,群益台灣精選高息,2024/12/20,2024/12/28,2025/1/13,0.72,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2024&endDate=2024,40:37.7
919,群益台灣精選高息,2025/3/18,2025/3/24,2025/4/15,0.72,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2025&endDate=2025,40:40.4
919,群益台灣精選高息,2025/6/17,2025/6/23,2025/7/11,0.72,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2025&endDate=2025,40:40.4
919,群益台灣精選高息,2025/9/16,2025/9/22,2025/10/15,0.54,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2025&endDate=2025,40:40.3
919,群益台灣精選高息,2025/12/16,2025/12/22,2026/1/13,0.54,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2025&endDate=2025,40:40.3
919,群益台灣精選高息,2026/3/17,2026/3/23,2026/4/14,0.78,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2026&endDate=2026,40:43.4
919,群益台灣精選高息,2026/6/16,2026/6/22,2026/7/13,1,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2026&endDate=2026,40:43.3
929,復華台灣科技優息,2023/7/19,2023/7/25,2023/8/14,0.11,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2023&endDate=2023,40:35.6
929,復華台灣科技優息,2023/8/17,2023/8/23,2023/9/12,0.11,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2023&endDate=2023,40:35.6
929,復華台灣科技優息,2023/9/19,2023/9/25,2023/10/18,0.11,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2023&endDate=2023,40:35.6
929,復華台灣科技優息,2023/10/24,2023/10/30,2023/11/17,0.11,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2023&endDate=2023,40:35.6
929,復華台灣科技優息,2023/11/21,2023/11/27,2023/12/15,0.11,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2023&endDate=2023,40:35.6
929,復華台灣科技優息,2023/12/19,2023/12/25,2024/1/15,0.11,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2023&endDate=2023,40:35.6
929,復華台灣科技優息,2024/1/18,2024/1/24,2024/2/22,0.13,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2024&endDate=2024,40:37.7
929,復華台灣科技優息,2024/2/29,2024/3/6,2024/3/26,0.13,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2024&endDate=2024,40:37.7
929,復華台灣科技優息,2024/3/19,2024/3/25,2024/4/16,0.13,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2024&endDate=2024,40:37.7
929,復華台灣科技優息,2024/4/23,2024/4/29,2024/5/20,0.2,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2024&endDate=2024,40:37.7
