date,price_0050,price_006208,close_0050,close_006208,nav_0050,nav_006208,premium_0050,premium_006208,volume_0050,volume_006208,beta,price_spread,nav_spread,mispricing_spread,premium_spread,spread_mean,spread_std,z_score,signal,ret_0050,ret_006208,position,gross_ret,turnover,cost,strategy_ret,equity,peak,drawdown
2025-11-19,59.2142333984375,137.3000030517578,60.04999923706055,137.3000030517578,59.65,136.59,0.0067,0.0052,138705085,6629031,0.9469746880442053,-0.5800068815193082,-0.5677649928810702,-0.012241888638238052,0.0015000000000000005,0.008586539305731921,0.0072531651625998145,-2.871632932249989,1,-0.00661702564191835,-0.00687158732905746,1.0,0.00012728084356955494,1.0,0.0008,-0.0006727191564304451,1.0060818857811038,1.0112073510146529,-0.005068658993040431
2025-11-20,61.03848648071289,141.5500030517578,61.900001525878906,141.5500030517578,61.8,141.51,0.0016,0.0003,81330710,5554327,0.9521038833391438,-0.603935594525983,-0.5912677117467204,-0.012667882779262563,0.0013000000000000002,0.00744229548710309,0.00865255025167319,-2.3241908664415836,1,0.030807678788990822,0.030954114388459963,1.0,-7.321779973457065e-05,0.0,0.0,-7.321779973457065e-05,1.006008222679074,1.0112073510146529,-0.005141505676716007
2025-11-21,59.01701354980469,136.5500030517578,59.84999847412109,136.5500030517578,59.31,135.8,0.0091,0.0055,299502200,11869643,0.9536498622809931,-0.6109758037226101,-0.6007712708896609,-0.010204532832949198,0.0036000000000000008,0.006324416600221827,0.00942195704574214,-1.7543010812855058,1,-0.03311800549882493,-0.03532320658567378,1.0,0.0011026005434244257,0.0,0.0,0.0011026005434244257,1.0071174478920895,1.0112073510146529,-0.004044574160244729
2025-11-24,58.72119140625,135.89999389648438,59.54999923706055,135.89999389648438,59.22,135.6,0.0056,0.0022,153617414,6372320,0.9543361424923142,-0.61482142060916,-0.6042537835055812,-0.010567637103578775,0.0034,0.005252704664863561,0.010074540399975103,-1.5703288825445012,1,-0.005012489208811699,-0.004760228053799831,1.0,-0.00012613057750593404,0.0,0.0,-0.00012613057750593404,1.0069904195867705,1.0112073510146529,-0.004170194593276166
2025-11-25,59.51005554199219,138.1999969482422,60.34999847412109,138.1999969482422,60.35,138.18,0.0,0.0001,61913501,4202296,0.9515801706995982,-0.6039096861229405,-0.5897563380160431,-0.01415334810689739,-0.0001,0.0040690509183495035,0.01090339783686525,-1.6712587486843344,1,0.013434062164791483,0.01692423219319439,1.0,-0.001745085014201453,0.0,0.0,-0.001745085014201453,1.0052331356961053,1.0112073510146529,-0.0059080022633863916
2025-11-26,60.49613571166992,140.60000610351562,61.34999847412109,140.60000610351562,61.62,141.1,-0.0044,-0.0034999999999999,73622900,5284453,0.9525865065040708,-0.6088362329062749,-0.5938107561424433,-0.015025476763831591,-0.0009000000000001004,0.002849263263019264,0.011620168404688927,-1.5382513750521987,1,0.016569975623395683,0.017366202664767627,1.0,-0.00039811352068597206,0.0,0.0,-0.00039811352068597206,1.004832938793343,1.0112073510146529,-0.006303763728491174
2025-11-27,61.03848648071289,141.6999969482422,61.900001525878906,141.6999969482422,61.8,141.5,0.0016,0.0014,52209933,3736776,0.9536838116015963,-0.6127704699629595,-0.5990247059178557,-0.013745764045103748,0.0002000000000000001,0.0016783562880314574,0.012067698445828333,-1.2781327278249275,1,0.008965048141716947,0.007823547631404137,1.0,0.0005707502551564048,0.0,0.0,0.0005707502551564048,1.0054064474495488,1.0112073510146529,-0.005736611348091447
2025-11-28,61.48221969604492,142.85000610351562,62.34999847412109,142.85000610351562,61.87,141.67,0.0078,0.0083,66700125,3604848,0.9526063519305161,-0.6078895748786426,-0.5937005447336281,-0.014189030145014492,-0.0005000000000000004,0.0004824277907928831,0.012408199892082127,-1.1824001920834197,1,0.007269728345447257,0.008115802258580773,1.0,-0.000423036956566758,0.0,0.0,-0.000423036956566758,1.0049811233659072,1.0112073510146529,-0.006157221506052357
2025-12-01,60.64405059814453,140.6999969482422,61.5,140.6999969482422,61.13,139.96,0.0060999999999999,0.0053,96548521,4117853,0.9516273750267072,-0.6023269307775987,-0.5893275305226213,-0.012999400254977367,0.0007999999999998997,-0.0006732900637527184,0.012539548936610547,-0.9829787541430026,1,-0.013632707180126546,-0.01505081598467306,1.0,0.000709054402273257,0.0,0.0,0.000709054402273257,1.0056937096556313,1.0112073510146529,-0.005452532908793772
2025-12-02,60.841270446777344,141.35000610351562,61.70000076293945,141.35000610351562,61.8,141.5,-0.0016,-0.0011,41397425,1621266,0.9514803213912487,-0.6027382472058571,-0.5881123619725557,-0.014625885233301439,-0.0005,-0.0019053484970794176,0.012644190286538251,-1.0060380655426433,1,0.003252088979670553,0.00461982352076773,1.0,-0.0006838672705485882,0.0,0.0,-0.0006838672705485882,1.0050059486434013,1.0112073510146529,-0.006132671370544296
