date,price_0050,price_006208,close_0050,close_006208,nav_0050_raw,nav_006208_raw,premium_0050,premium_006208,volume_0050,volume_006208,nav_0050,nav_006208,beta,price_spread,nav_spread,mispricing_spread,premium_spread,spread_mean,spread_std,z_score,signal,ret_0050,ret_006208,position,weight_a,weight_b,gross_ret,turnover,cost,strategy_ret,equity,peak,drawdown
2024-05-21,40.1185417175293,93.07759857177734,41.75,97.5999984741211,166.86,97.51,0.0008,0.0009,17396092,2494702,41.715,97.51,1.0535191585217014,-1.0842204722640432,-1.0942094947803547,0.009989022516311508,-9.999999999999994e-05,-0.001479999999999995,0.0012955795289326933,1.0651603928450828,0,-0.001196076254467382,-0.0005120383492964731,0.0,0.4869689166766214,0.5130310833233787,-0.0,0.0,0.0,-0.0,1.0,1.0,0.0
2024-05-22,40.8392333984375,94.88955688476562,42.5,99.5,170.11,99.41,-0.0006,0.0009,25594296,3972285,42.5275,99.41,1.0499581605003174,-1.0705156334759272,-1.0788719919012624,0.00835635842533522,-0.0015,-0.001544999999999995,0.001260106511788832,0.035711266927835696,0,0.0179640547750346,0.019467179437284043,0.0,0.4878148341115108,0.5121851658884894,-0.0,0.0,0.0,-0.0,1.0,1.0,0.0
2024-05-23,41.15153503417969,95.55712127685548,42.82500076293945,100.1999969482422,171.66,100.32,-0.0021,-0.0012,24008260,5244033,42.915,100.32,1.0501891767460194,-1.0713117710709872,-1.0804337110683728,0.009121939997385642,-0.0009,-0.0015649999999999948,0.0012457401097550878,0.5338192089927438,0,0.007647098384421014,0.007035172404699308,0.0,0.4877598669148967,0.5122401330851034,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-05-24,40.98337173461914,95.27102661132812,42.650001525878906,99.9000015258789,170.59,99.7,0.0001,0.002,14620304,3466220,42.6475,99.7,1.050692108602724,-1.0745493606378145,-1.0824905036998356,0.007941143062021094,-0.0019,-0.0015149999999999949,0.0012088598368972078,-0.3184819184564758,0,-0.0040864405038809615,-0.002993964884087097,0.0,0.48764024389861627,0.5123597561013838,-0.0,0.0,0.0,-0.0,1.0,1.0,0.0
2024-05-27,41.54791641235352,96.4154281616211,43.23749923706055,101.0999984741211,172.66,100.93,0.0017,0.0017,22741680,5851429,43.165,100.93,1.0517586366878928,-1.078286794100341,-1.0882336869061033,0.009946892805762442,0.0,-0.0014049999999999948,0.0012428638406180197,1.1304536780966707,0,0.013774969062818831,0.0120120627539968,0.0,0.4873867628086494,0.5126132371913504,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-05-28,41.60797119140625,96.46309661865234,43.29999923706055,101.1500015258789,172.32,100.73,0.0051,0.0042,22098816,4204315,43.08,100.73,1.0511549742636952,-1.0746040412961557,-1.085334254895673,0.010730213599517313,0.0009000000000000006,-0.001379999999999995,0.0012853834160731087,1.773789805819555,0,0.0014454341935392634,0.000494406942334491,0.0,0.48753020251869117,0.5124697974813089,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-05-29,41.043434143066406,95.41407775878906,42.712501525878906,100.0500030517578,170.32,99.56,0.0031,0.0049,27187816,5485832,42.58,99.56,1.0540378780185418,-1.0899121256269382,-1.097991151509698,0.008079025882759883,-0.0018,-0.0013399999999999948,0.001257566572476587,-0.36578580416152817,0,-0.013568002288379843,-0.010874820492341897,0.0,0.4868459392602171,0.5131540607397831,-0.0,0.0,0.0,-0.0,1.0,1.0,0.0
2024-05-30,40.334747314453125,93.7451629638672,41.97499847412109,98.3000030517578,167.52,97.92,0.0023,0.0039,37110048,8385195,41.88,97.92,1.0460866993354612,-1.0526271031941383,-1.0606108132544652,0.007983710060326832,-0.0015999999999999999,-0.0012749999999999999,0.0012051970793193955,-0.2696654394346321,0,-0.017266752731825208,-0.017491284662845552,0.0,0.48873784298817113,0.5112621570118288,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-05-31,39.87831115722656,92.98223876953124,41.5,97.5,165.04,96.47,0.0058,0.0107,33146844,7892789,41.26,96.47,1.0501187452383443,-1.0737345244819827,-1.0783427500507723,0.004608225568789592,-0.0049,-0.0013599999999999999,0.0013933677490922947,-2.5406071026878023,1,-0.01131620222306462,-0.00813827796779254,0.0,0.4877766238285584,0.5122233761714416,-0.0,0.0,0.0,-0.0,1.0,1.0,0.0
2024-06-03,40.73113250732422,94.55577850341795,42.38750076293945,99.1500015258789,168.84,98.69,0.0042,0.0046999999999999,35980328,7152802,42.21,98.69,1.0562241119082676,-1.0979713451139244,-1.1075066655565573,0.009535320442632944,-0.0004999999999998998,-0.0012449999999999948,0.0013628433898519548,0.5466512187295592,1,0.021385593455431673,0.016923014058490837,1.0,0.48632831130063703,0.5136716886993629,0.001707546342033994,1.0,0.0008,0.0009075463420339939,1.000907546342034,1.000907546342034,0.0
2024-06-04,40.08251190185547,93.2683334350586,41.712501525878906,97.8000030517578,167.09,97.66,-0.0014,0.0014,31950448,6423501,41.7725,97.66,1.0557702003270448,-1.097485181504282,-1.1047645602541092,0.007279378749827092,-0.0028,-0.001294999999999995,0.0014020567598691384,-1.0734230190084992,1,-0.015924443184881176,-0.013615720675525078,1.0,0.4864356920053194,0.5135643079946807,-0.0007536693738621645,0.0,0.0,-0.0007536693738621645,1.0001531929782885,1.000907546342034,-0.0007536693738621203
2024-06-05,40.46687698364258,94.17431640625,42.11249923706055,98.75,168.85,98.7,-0.0024,0.0005,18128396,4539336,42.2125,98.7,1.0545978343704292,-1.092818917668131,-1.1000864540483914,0.007267536380260342,-0.0029,-0.0013399999999999948,0.0014398099289763763,-1.0834763454569847,1,0.00958934616493723,0.009713725310876553,1.0,0.4867132551545887,0.5132867448454114,-0.00031866455840153744,0.0,0.0,-0.00031866455840153744,0.9998344796027142,1.000907546342034,-0.0010720937645455342
2024-06-06,41.84820175170898,97.08299255371094,43.54999923706055,101.8000030517578,174.08,101.75,0.0007,0.0005,68229592,9709787,43.52,101.75,1.0586446351343686,-1.1098497895985533,-1.1203841516291733,0.01053436203061997,0.00019999999999999998,-0.001229999999999995,0.0014704456896858851,0.9724942648548074,1,0.03413470153935405,0.03088608718871355,1.0,0.48575649382766334,0.5142435061723368,0.0006981831697418159,0.0,0.0,0.0006981831697418159,1.0005325472089004,1.000907546342034,-0.0003746591126264631
2024-06-07,41.52389526367188,96.36774444580078,43.212501525878906,101.0500030517578,172.51,100.83,0.002,0.0022,27000588,3280232,43.1275,100.83,1.0585283999359543,-1.1092702645498882,-1.119292108933014,0.0100218443831257,-0.0002000000000000001,-0.0010949999999999948,0.0014325079222707387,0.6247783946501925,1,-0.007749591964817282,-0.007367388345743908,1.0,0.4857839221606621,0.5142160778393378,2.3802359253988388e-05,0.0,0.0,2.3802359253988388e-05,1.0005563622440343,1.000907546342034,-0.0003508656711432856
2024-06-11,41.63199615478516,96.60614776611328,43.32500076293945,101.3000030517578,172.56,100.86,0.0043,0.0044,43428272,5780287,43.14,100.86,1.0595070552518269,-1.1137588393790518,-1.1238324650292761,0.010073625650224294,-0.00010000000000000026,-0.001119999999999995,0.0014092177748105908,0.7238058008011502,1,0.0026033417728961172,0.0024738912556636627,1.0,0.48555308293310245,0.5144469170668975,-8.625105876688879e-06,0.0,0.0,-8.625105876688879e-06,1.0005477323394742,1.000907546342034,-0.0003594877507665517
2024-06-12,42.376708984375,98.37043762207033,44.09999847412109,103.1500015258789,175.92,102.84,0.0027,0.003,30368844,6083668,43.98,102.84,1.0584130520758168,-1.1101837611041856,-1.1200772537464108,0.009893492642225166,-0.0002999999999999999,-0.0010999999999999949,0.0014183014303625408,0.5640549906203662,1,0.017887992370604566,0.018262707878886175,1.0,0.48581114416834126,0.5141888558316587,-0.0007002948281943384,0.0,0.0,-0.0007002948281943384,0.9998470539371553,1.000907546342034,-0.0010595308315483054
2024-06-13,42.989295959472656,99.70555877685548,44.73749923706055,104.5500030517578,178.79,104.52,0.0009,0.0003,64426456,7841447,44.6975,104.52,1.053762247674488,-1.0886960453137324,-1.0994219042673525,0.010725858953620104,0.0006000000000000001,-0.0010149999999999949,0.0014683592705358004,1.0998670641488753,1,0.014455746795333457,0.013572381978359749,1.0,0.48691127764779885,0.5130887223522012,7.483001291624415e-05,0.0,0.0,7.483001291624415e-05,0.9999218725051158,1.000907546342034,-0.0009847801033378012
2024-06-14,43.24153900146485,100.37313079833984,45.0,105.25,179.99,105.23,0.0001,0.0002,25992432,5827803,44.9975,105.23,1.0523557494767635,-1.0833950941141266,-1.093317638848338,0.009922544734211503,-0.0001,-0.000894999999999995,0.001438374447990364,0.552707259998073,1,0.0058675778786885235,0.006695434333590322,1.0,0.48724496240719684,0.512755037592803,-0.0005741699204973604,0.0,0.0,-0.0005741699204973604,0.9993477474430759,1.000907546342034,-0.0015583845927216178
2024-06-17,43.24153900146485,100.325439453125,45.0,105.1999969482422,179.82,105.14,0.001,0.0006,32511172,5835511,44.955,105.14,1.0516465156128396,-1.0796265113668042,-1.0900604579940825,0.010433946627278257,0.0004000000000000001,-0.0008399999999999949,0.0014669696656713818,0.8452799188812739,1,0.0,-0.0004751405563970801,1.0,0.4874133981609858,0.5125866018390144,0.00024355068319947785,0.0,0.0,0.00024355068319947785,0.9995911392697194,1.000907546342034,-0.001315213455154396
2024-06-18,43.96223831176758,101.9943618774414,45.75,106.9499969482422,182.76,106.85,0.0013,0.0009,26253244,5302669,45.69,106.85,1.0501434466258734,-1.0734957964135248,-1.0837879255733354,0.010292129159810592,0.00039999999999999996,-0.0008549999999999949,0.0014518499995015452,0.8644143681722398,1,0.016666828400309974,0.016635087106657398,1.0,0.4877707467961816,0.5122292532038184,-0.0003913869100805826,0.0,0.0,-0.0003913869100805826,0.9991999123823767,1.000907546342034,-0.0017060856079046394
2024-06-19,45.1513786315918,105.14144134521484,46.98749923706055,110.25,188.39,110.14,-0.0023,0.001,101354688,12362822,47.0975,110.14,1.0318385325681314,-0.9935038179892981,-0.9992292559930891,0.005725438003790995,-0.0033,-0.0010149999999999949,0.0015380353154524618,-1.4856615950510863,1,0.027049130469453786,0.030855425827900573,1.0,0.4921650928314935,0.5078349071685064,-0.002356824502446722,0.0,0.0,-0.002356824502446722,0.9968449735460313,1.000907546342034,-0.0040588891659874005
2024-06-20,45.58379364013672,105.7136459350586,47.4375,110.8499984741211,189.72,110.93,0.0002,-0.0007,45286572,7049615,47.43,110.93,1.032321656536217,-0.9918243775126299,-1.001843860018408,0.010019482505778221,0.0009,-0.000894999999999995,0.0015909199589512603,1.1282780066341396,1,0.009577005656309368,0.005442236500877051,1.0,0.49204809523328497,0.507951904766715,0.0019479529944139802,0.0,0.0,0.0019479529944139802,0.9987867806972168,1.000907546342034,-0.0021188426968783425
2024-06-21,45.30752944946289,104.9030303955078,47.150001525878906,110.0,188.08,109.97,0.0028,0.0003,40956144,12920208,47.02,109.97,1.0307561733444748,-0.9826727659191574,-0.9941949579522227,0.01152219203306526,0.0025,-0.000724999999999995,0.0017627356132174975,1.8295426584781176,1,-0.00606057917984637,-0.007668031240250395,1.0,0.492427408630298,0.5075725913697019,0.0009076871869872372,0.0,0.0,0.0009076871869872372,0.999693366660588,1.000907546342034,-0.0012130787562583123
2024-06-24,44.20246887207031,102.6142349243164,46.0,107.5999984741211,183.54,107.32,0.0025,0.0026,52787124,9365865,45.885,107.32,1.0347596265418124,-1.0031670401089268,-1.0122063433534172,0.009039303244490426,-9.999999999999983e-05,-0.0006349999999999949,0.0017454527387351104,0.30651073393582534,1,-0.024390219259807333,-0.02181820165310877,1.0,0.4914585423043585,0.5085414576956415,-0.0008913215309392097,0.0,0.0,-0.0008913215309392097,0.9988023184385463,1.000907546342034,-0.0021033190439833094
2024-06-25,44.178443908691406,102.47118377685548,45.97499847412109,107.4499969482422,184.14,107.67,-0.0013,-0.002,52138524,8143243,46.035,107.67,1.0343978214276535,-1.0005921714473076,-1.010618865580812,0.010026694133504321,0.0007000000000000001,-0.0005999999999999949,0.0017657561374216169,0.7362285042929394,1,-0.0005435208483136611,-0.0013940672808838706,1.0,0.4915459451771546,0.5084540548228456,0.00044165369255343536,0.0,0.0,0.00044165369255343536,0.9992434431706155,1.000907546342034,-0.0016625942900523327
